district,area,chamber,market,building,floor,building_floors,construction_year,standard,property,window,heating,url,rent,price
 Ursus,45.0,2,wtórny,blok,5.0,7.0,2001.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/2-pok-45-m2-ul-gorna-droga-miejsce-park-w-cenie-ID43vqG.html#2a80e35130,650.0,338000.0
 Praga-Południe,57.0,3,wtórny,blok,1.0,2.0,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-3-pokoje-praga-poludnie-ul-szaserow-ID41Xvj.html#af330f76b5,,550000.0
 Ochota,54.0,3,wtórny,apartamentowiec,3.0,3.0,2010.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/ochota-ul-moldawska-3-pokoje-z-tarasem-ID43r5P.html#af330f76b5,500.0,745000.0
 Ursynów,52.3,2,wtórny,blok,1.0,2.0,,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/duze-mieszkanie-2-pokojowe-z-miejscem-garazowym-ID42PVH.html#af330f76b5,,439000.0
 Białołęka,150.0,5,pierwotny,,,,,,,,,https://www.otodom.pl/oferta/segment-warszawa-bialoleka-blizniak-150m2-ID3BREI.html#af330f76b5,,892750.0
 Ochota,42.0,2,wtórny,blok,7.0,10.0,11960.0,do remontu,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/swietne-2-pokojowe-na-ochocie-ID43rQM.html#af330f76b5,,397000.0
 Mokotów,155.0,4,wtórny,,3.0,4.0,2012.0,,,,,https://www.otodom.pl/oferta/unikatowy-loft-w-sercu-mokotowa-ID42X9d.html#af330f76b5,,2650000.0
 Mokotów,69.4,3,wtórny,apartamentowiec,8.0,11.0,2001.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/bezposrednio-mokotow-atrakcyjne-mieszkanie-70-m2-ID43ura.html#2a80e35130,650.0,763000.0
 Białołęka,144.0,5,pierwotny,,,,,,,,,https://www.otodom.pl/oferta/segment-warszawa-bialoleka-narozny-z-garazem-144m2-ID3BREv.html#af330f76b5,,758480.0
 Żoliborz,157.9,8,wtórny,,2.0,2.0,,,spółdzielcze wł. z KW,,,https://www.otodom.pl/oferta/dwa-apartamenty-stary-zoliborz-oficerski-ID432NX.html#af330f76b5,,2250000.0
 Białołęka,65.65,3,wtórny,blok,2.0,4.0,2010.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/nowa-cena-geodezyjna-80-2010r-garaz-komorka-ID43ubs.html#af330f76b5,550.0,424000.0
 Praga-Południe,49.15,2,wtórny,kamienica,2.0,3.0,,,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/2-lub-3-pokoje-w-odnowionej-kamienicy-bezposrednio-ID43ubD.html#af330f76b5,409.0,459000.0
 Śródmieście,164.87,4,wtórny,,3.0,5.0,2012.0,,,,,https://www.otodom.pl/oferta/rezydencja-foksal-luksusowy-apartament-ID43gYt.html#af330f76b5,,6450000.0
 Wola,58.0,2,wtórny,,5.0,8.0,2009.0,,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-58-m-warszawa-ID42X0O.html#af330f76b5,600.0,696000.0
 Śródmieście,193.18,3,wtórny,apartamentowiec,11.0,22.0,,do zamieszkania,,,,https://www.otodom.pl/oferta/penthouse-platinum-towers-taras-widok-ID429hP.html#af330f76b5,,7500000.0
 Śródmieście,37.0,2,wtórny,,5.0,5.0,1928.0,,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-37-m-warszawa-ID42XRs.html#af330f76b5,,770000.0
 Mokotów,60.0,3,wtórny,apartamentowiec,3.0,7.0,2019.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/bezposrednio-wysoki-standard-wykonczone-garaz-ID43psk.html#af330f76b5,570.0,779000.0
 Ursynów,68.8,4,wtórny,blok,10.0,10.0,1982.0,do zamieszkania,spółdzielcze własnościowe,plastikowe,,https://www.otodom.pl/oferta/4-pokoje-po-remoncie-przy-metrze-imielin-ID43vae.html#47b1d12246,,648000.0
 Białołęka,53.8,2,wtórny,,1.0,8.0,2006.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/przytulne-mieszkanie-blisko-petli-nowodwory-ID43vad.html#47b1d12246,500.0,430000.0
 Praga-Południe,38.5,2,wtórny,blok,4.0,10.0,1972.0,do zamieszkania,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/saska-kepa-2-pokoje-ul-saska-ID43w9z.html#47b1d12246,375.0,431200.0
 Bielany,41.56,2,wtórny,blok,5.0,,2001.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-na-bielanach-bezposrednio-ID43v8Y.html#47b1d12246,,390000.0
 Praga-Południe,65.4,3,wtórny,,9.0,17.0,2019.0,do zamieszkania,,plastikowe,,https://www.otodom.pl/oferta/3-pokoje-wysoki-standard-w-apartamentowcu-ID43va9.html#47b1d12246,617.0,899000.0
 Śródmieście,37.21,2,wtórny,kamienica,4.0,5.0,1962.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/kawalerka-blisko-metra-onz-ID43vaa.html#47b1d12246,,549000.0
 Wola,45.5,2,wtórny,blok,4.0,10.0,1970.0,do remontu,spółdzielcze własnościowe,plastikowe,,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-w-poblizu-pkp-wola-ID43vab.html#47b1d12246,,430000.0
 Mokotów,29.4,1,wtórny,blok,4.0,15.0,1980.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/atrakcyjna-kawalerka-bezposrednio-ID43vba.html#47b1d12246,290.0,379000.0
 Śródmieście,49.0,2,wtórny,,1.0,4.0,1959.0,,,,,https://www.otodom.pl/oferta/do-wejscia-1-pietro-super-rozklad-ID43vbC.html#47b1d12246,,800000.0
 Mokotów,60.0,3,wtórny,blok,0.0,7.0,2019.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/bezposrednio-nowoczesne-3p-na-mokotowie-ID43mWj.html#47b1d12246,600.0,697000.0
 Ursus,34.14,2,pierwotny,apartamentowiec,5.0,6.0,,,,,,https://www.otodom.pl/oferta/nowe-2-pok-mieszkanie-przy-pkp-ursus-ID43vbW.html#47b1d12246,,310000.0
 Żoliborz,68.14,3,wtórny,apartamentowiec,3.0,4.0,2018.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/apartament-na-artystycznym-zoliborzu-ID43nPH.html#47b1d12246,,960000.0
 Bielany,82.5,3,wtórny,apartamentowiec,4.0,5.0,2010.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/luksusowy-przestronny-3-pokojowy-apartament-ID42Bla.html#47b1d12246,600.0,940000.0
 Wola,38.5,2,wtórny,blok,11.0,15.0,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-na-bliskiej-woli-ul-wolska-38-5m2-ID43vbF.html#47b1d12246,,450000.0
 Mokotów,62.0,3,wtórny,apartamentowiec,3.0,7.0,2019.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/cybertnetyki-mokotow-3-pokoje-62m2-lux-ID43n0L.html#53cbd01a64,550.0,799000.0
 Białołęka,52.0,3,pierwotny,blok,1.0,,,do wykończenia,pełna własność,plastikowe,gazowe,https://www.otodom.pl/oferta/nowe-trzypokojowe-mieszkanie-na-tarchominie-ID43v4J.html#53cbd01a64,,372000.0
 Wilanów,97.0,3,pierwotny,apartamentowiec,3.0,4.0,2010.0,do wykończenia,,,,https://www.otodom.pl/oferta/sarmacka-3-pokoje-97m2-dwa-balkony-stan-dewelop-ID43dFs.html#53cbd01a64,,1200000.0
 Śródmieście,112.0,4,wtórny,blok,,4.0,1995.0,do zamieszkania,spółdzielcze wł. z KW,,miejskie,https://www.otodom.pl/oferta/tuz-przy-lazienkach-krolewskich-112m2-4-pokoje-ID42clN.html#53cbd01a64,1.0,995000.0
 Praga-Północ,43.0,2,wtórny,blok,7.0,7.0,2002.0,do zamieszkania,udział,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-wilenska-43m-7p-bezp-ID41x6q.html#47b1d12246,520.0,395000.0
 Wola,43.3,2,wtórny,apartamentowiec,6.0,10.0,2010.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/skierniewicka-city-obok-stacji-metra-plocka-ID43v4o.html#53cbd01a64,450.0,525000.0
 Wilanów,99.0,3,wtórny,apartamentowiec,3.0,4.0,2011.0,do zamieszkania,,,miejskie,https://www.otodom.pl/oferta/apartament-3-pokojowy-z-3-balkonami-ID43q63.html#53cbd01a64,1.0,969000.0
 Ochota,50.01,2,pierwotny,,2.0,6.0,,,,,,https://www.otodom.pl/oferta/siewierska-mieszkanie-nr-7-ID42j7i.html#53cbd01a64,,700000.0
 Śródmieście,53.04,3,pierwotny,,5.0,,,do zamieszkania,,,,https://www.otodom.pl/oferta/krysztal-powisla-apartament-c55-ID438Al.html#53cbd01a64,,1050000.0
 Śródmieście,113.42,3,pierwotny,,6.0,,,,,,,https://www.otodom.pl/oferta/krysztal-powisla-apartament-c61-ID42gOV.html#53cbd01a64,,
 Ochota,110.95,3,pierwotny,,5.0,6.0,,,,,,https://www.otodom.pl/oferta/siewierska-mieszkanie-nr-19-ID42j7Y.html#53cbd01a64,,1800000.0
 Śródmieście,81.22,3,pierwotny,,2.0,,,do zamieszkania,,,,https://www.otodom.pl/oferta/krysztal-powisla-apartament-a24-ID42gPC.html#53cbd01a64,,1640000.0
 Wilanów,54.0,2,wtórny,,,,,,,,,https://www.otodom.pl/oferta/wilanow-2-pokoje-54mkw-ID43v4N.html#53cbd01a64,,630000.0
